City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Labuan,MY,87.48,scattered clouds,5.8402,118.1179,Hotel Sandakan
614,Yarada,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
617,Puro,PH,79.84,overcast clouds,9.2463,118.4082,Mom's Place Resort
622,Tuggurt,MR,83.19,scattered clouds,20.5022,-10.0711,
623,Wanning,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
629,Kachiry,KZ,70.61,scattered clouds,44.3583,77.9753,Gostinitsa
630,Fatehpur,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
638,Kuah,MY,87.48,scattered clouds,5.8402,118.1179,Hotel Sandakan
643,Bandarbeyla,SO,84.6,scattered clouds,9.4942,50.8122,JABIR HOTEL
644,Malakal,SS,77.59,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
645,Samarai,PG,85.71,few clouds,-6.2167,149.55,Kandrian Station
646,Kieta,PG,85.71,few clouds,-6.2167,149.55,Kandrian Station
650,Sinkat,SS,77.59,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
652,Zhezkazgan,KZ,70.61,scattered clouds,44.3583,77.9753,Gostinitsa
655,Talcher,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
658,Kampot,KH,86.38,overcast clouds,12.7111,104.8887,Sambor Village Hotel
665,Lethem,GY,77.59,overcast clouds,3.3803,-59.7968,Savannah Inn
674,Cagayan De Tawi-Tawi,PH,79.84,overcast clouds,9.2463,118.4082,Mom's Place Resort
676,Biak,ID,85.75,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
677,Venezuela,VE,78.93,overcast clouds,8.0,-66.0,
680,Pandan,PH,79.84,overcast clouds,9.2463,118.4082,Mom's Place Resort
685,Iracoubo,GF,77.7,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
689,Kuala Kedah,MY,87.48,scattered clouds,5.8402,118.1179,Hotel Sandakan
690,Kouroussa,GN,74.12,overcast clouds,10.0569,-12.8658,LES EAUX DE KILISSI
695,Quatre Cocos,MU,75.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
